Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
84249.861,5.863,6.16,4.14,44571.378,1641101.519,"3067 Monica Junctions
New Jamie, NY 50202"
44247.149,6.454,6.166,4.38,22011.946,503065.5056,"1377 Moran Wells
Richardburgh, IL 33834-1305"
59473.988,6.926,7.772,6.19,41215.298,1296146.939,"27645 Kline River
Port Samuelside, GU 06730"
67839.381,6.903,6.927,3.46,26377.268,1164209.619,"43918 Carpenter Village
Lindsayborough, WY 68856-0092"
62972.004,7.161,4.627,2,33869.9,999814.8898,"76984 Adams Stream
Jamesview, AZ 00532-4427"
61162.58,5.896,7.881,6.04,36033.701,1060897.689,"06275 Ross Mills Suite 054
Lisastad, DC 67330"
87472.257,5.544,7.341,3.32,48306.797,1848633.724,"29279 Jermaine Plain
Morrisland, SC 37248-4063"
48692.976,4.598,6.259,3.02,36239.394,617157.9103,"520 Love Hill
Port Scottview, NC 38932-2657"
67858.502,4.949,6.229,3.34,29708.758,857697.1255,"PSC 8501, Box 9843
APO AP 98266-5428"
72332.058,5.745,6.87,4.41,45804.329,1253434.398,"87019 Russell Port Apt. 950
Rhondastad, KY 27693-9413"
80775.903,6.149,7.744,5.29,26601.558,1635092.433,"62969 King Junctions Apt. 619
Maryton, NY 45618"
75151.106,7.299,6.596,3.3,32032.141,1524845.422,"PSC 7794, Box 7590
APO AA 40047"
62095.037,5.954,4.708,3.24,36183.288,763869.6667,"94007 Luis Isle Apt. 081
Port Jesse, IN 51991"
75759.49,5.255,7.511,4.11,46188.165,1376637.506,"14841 Jeffery Passage
Lake Kyle, WA 90337-7454"
64374.307,8.39,7.063,6.23,23251.047,1244440.135,"95798 Elizabeth River
Benjaminbury, VT 03318-9619"
48147.871,5.972,7.877,6.44,32050.576,693931.5015,"PSC 3778, Box 1575
APO AE 50445-2100"
64127.441,5.611,6.993,2.25,42628.711,1277744.739,"3840 Timothy Walks
West Deborah, VT 14535-2467"
83921.907,5.525,6.822,4.06,39569.83,1539329.319,"805 Brown Land Suite 726
Jenniferhaven, GA 61596-1119"
54617.886,6.235,6.783,2.18,29613.844,903881.6639,"548 Alec Keys
Daniellemouth, PA 02241"
45493.208,7.382,7.266,3.2,38938.271,896944.2443,"PSC 9294, Box 6252
APO AP 46111-7806"
72780.151,5.259,5.725,2.48,44953.524,1184758.842,"60075 Rhodes Summit
North Crystalview, VA 40652"
96395.322,5.461,7.528,6.5,35036.192,1731437.416,"389 Michael Knolls Apt. 891
Reyeshaven, WV 22646-0966"
47467.424,5.822,7.015,3.33,37341.621,762144.9261,"753 Kline Street
New Cindyland, MI 13424-8203"
61807.485,5.607,8.203,5.46,44586.725,1270905.02,"876 Woods Circles
North Sarah, OK 34668"
54794.424,5.625,8.003,4.21,39385.684,1000043.903,"043 Tyler Oval
Lake William, AS 62856-9836"
94923.406,5.709,8.039,3.3,43818.813,1967637.287,"8068 Curtis Glen
Anthonyfurt, VA 17191"
62058.502,7.031,6.175,3.23,28954.497,1114779.247,"034 Parker Unions
Lake Thomas, MP 99522-4945"
46952.229,6.061,5.729,4.24,31628.228,671661.7134,"727 Gonzales Fork
Jonathanborough, ND 57809-1961"
67003.63,6.505,7.407,3.02,28464.334,1214986.886,"003 Erica Passage Apt. 274
East Ritaton, KS 97261-8617"
87835.272,4.303,7.459,3.39,16250.769,1053236.6,"1215 Dawson Locks Suite 788
Port Elizabeth, NH 66530"
73433.626,7.108,6.228,2.05,44544.23,1515005.384,"62721 Stewart Mount
Marieburgh, WY 37987-7127"
70124.387,6.741,7.347,6.32,51673.963,1732196.217,"3222 Alexis Square
Leetown, MS 07616"
84366.245,4.751,7.865,5.27,43445.016,1587122.369,"30682 Perry Ranch Suite 253
Tinaport, CT 17781"
60343.599,7.828,7.267,4.38,24199.053,1184893.56,"8042 Jasmine Ramp
Charlesborough, IL 29751"
71308.86,5.807,8.598,3.25,22710.192,1314348.699,"6049 Ramos Fork
Vaughnmouth, MN 39214-3093"
65430.979,4.325,7.201,4.41,33320.397,717825.3597,"7646 Joshua Tunnel
Christinaton, AZ 69071-6657"
73591.489,5.43,6.748,2.5,51662.318,1441736.761,"960 Diamond Mews Apt. 150
East Donnaview, MH 67321-2363"
52805.836,7.46,6.8,4.48,37161.113,1119542.311,"4122 Bradley Turnpike Apt. 551
New Carlaville, KY 15412-2546"
58187.049,6.085,7.257,4.08,31551.864,850977.0123,"0227 Walters Haven
West Wesleybury, MS 17227"
70506.222,6.067,7.948,3.14,44706.718,1655466.736,"6998 Jason Hollow
Kleinbury, KY 02969"
77412.454,7.265,7.067,4.29,33258.834,1641739.518,"793 Cynthia Shore
South Randy, MN 75770-8233"
65087.718,6.684,7.456,3.45,40283.25,1369976.501,"31241 Johnson Prairie Suite 452
Hancockshire, AS 54797-5444"
72547.047,5.606,7.047,3.32,39218.759,1465835.843,"PSC 6728, Box 9260
APO AA 33818"
78864.053,6.379,7.349,3.3,50194.108,1789334.851,"8374 Colon Isle
North Yolanda, SD 47070-7137"
67335.758,6.785,7.378,6.26,10311.001,863297.1767,"493 Beth Tunnel Apt. 276
New Mitchell, DC 10981"
79552.39,5.191,6.537,3.32,50113.837,1425366.413,"5131 Tapia Gardens Suite 886
Christinaburgh, CO 75023-0787"
89089.432,7.146,9.18,5.29,49782.152,2271112.744,"8252 Murillo Mountain
Glennshire, SC 33179"
67110.334,7.197,7.236,6.1,31998.763,1370699.722,"965 Wilson Ridges
Holmesland, VT 81072"
80778.901,6.484,6.386,3.16,34431.169,1566740.128,"3753 Dean Island Suite 773
North Dennis, OR 90936-6820"
76624.148,5.074,6.265,4.17,47039.094,1436995.2,"678 Patton Pass
Guzmanberg, MA 60510"
80011.584,6.449,6.489,2.49,26576.392,1345962.955,"51202 Perez Squares
New Kellytown, WV 38886-7802"
70472.792,6.01,6.11,3.24,34894.159,1265180.909,"4821 Christopher Park
Lopezside, MH 21430"
57456.997,5.378,7.857,6.22,37378.951,1061222.537,"278 Tina Spur Suite 751
Jessicashire, PA 60756"
80000.764,5.613,5.91,3.17,42245.446,1383967.463,"50664 Kent Haven
Christopherchester, KS 50822-8146"
66387.684,5.678,7.788,5.22,22552.536,1051519.066,"0896 David Islands Suite 115
Lake Patriciaburgh, MD 03928-1885"
64699.394,6.849,6.957,4,49083.666,1550359.548,"31018 Park Square Suite 876
Normanside, MA 65696-1725"
84777.302,5.421,6.079,2.22,42038.803,1375057.083,"88259 Amanda Valleys
Carrollmouth, OH 35308-8073"
81196.611,6.866,7.181,3.01,49574.708,1882978.9,"6983 Tyler Mission Apt. 984
South Nicholasbury, DE 26628"
60690.719,7.596,7.022,3.42,35528.504,1274053.64,"814 Elizabeth Square Suite 264
New Brenda, DC 70173-4108"
72000.918,7.167,7.87,3.13,27699.049,1426434.644,"02930 Kenneth Glen Apt. 117
East Michaeltown, NC 02319-9280"
51144.771,6.749,6.767,4.04,39369.301,913587.0974,"572 Shelton River Suite 617
Reyesland, DE 48811"
57683.848,6.557,7.06,4.3,43348.489,1116730.867,"014 Cheryl Plaza Suite 493
Lake Melinda, MH 07175"
63759.051,6.136,7.614,6.23,35071.996,1226586.921,"4976 Shields Mount Suite 333
East Michelehaven, CT 44471-9324"
68615.767,8.765,6.122,2.47,51791.808,1836978.483,"4518 Caleb Hills Apt. 029
East Shannon, VI 80699-6731"
66823.433,7.523,6.143,4.29,30852.291,1452153.849,"365 Sue Place Apt. 092
Lake Davidport, VT 70760"
67564.166,6.701,8.04,5.16,21880.05,1294750.368,"8783 Cristian Vista Suite 144
Lake Tiffany, HI 82995-2929"
68008.615,4.357,7.88,5.41,28908.087,1059870.965,"USNS Hernandez
FPO AA 27512"
73715.424,6.211,7.983,3.09,45540.938,1615346.75,"Unit 1515 Box 0124
DPO AA 13767"
50813.703,7.162,5.942,2.1,30767.314,1107692.003,"49703 Joshua Camp
Port Brianbury, OH 78964"
83814.101,8.572,7.392,3.39,51538.057,2330289.701,"125 Gillespie Plain
Whitefurt, MO 18599"
51666.773,7.731,7.558,3.45,41926.024,1116193.293,"016 Ashley Locks
Mortonstad, WY 58148"
69236.934,5.817,5.861,4.18,39399.936,1072253.834,"8534 Gina Route Apt. 739
Davischester, GA 71300-1917"
81099.578,6.434,7.135,4.33,29780.173,1626941.788,"81304 Jonathan Camp
Lake Tannerbury, RI 29349"
59303.823,6.931,9.099,3.44,43609.462,1669681.231,"90568 Garcia Vista
North Marioville, GU 75958-1328"
69610.973,4.137,5.628,4.04,39210.483,806121.8394,"02315 Franklin Crescent Suite 962
North Peter, RI 58237"
77402.402,5.649,7.856,6.14,39351.016,1680252.737,"031 Garza Springs Suite 573
Perryville, CA 13499-5935"
73386.407,4.966,7.915,4.3,38413.49,1186441.756,"USS Williams
FPO AA 31030"
70961.581,8.598,6.186,2.02,38251.812,1766248.403,"8749 Matthew Row
East Markport, IN 41253"
81181.569,6.637,8.201,5.27,26690.71,1641055.939,"619 Ralph Key Apt. 220
Josephberg, AZ 58966-3248"
57272.328,7.577,6.597,2.07,30099.395,1120894.804,"9048 Deborah View Apt. 049
New Laurie, PR 61237"
58871.79,8.174,7.074,5.16,25091.824,1325706.901,"7579 Walter Curve
Hartfort, VA 37328-6949"
74029.35,6.619,6.415,4.31,36360.274,1593347.849,"055 Tina Roads Suite 878
North Aprilshire, PW 13402"
56849.221,4.044,6.782,3.19,43522.685,605073.4908,"225 Brandi Avenue Apt. 147
Lopezbury, KS 51049"
73587.046,5.944,6.53,2.3,25271.931,1064509.523,"PSC 3878, Box 6882
APO AP 64687-9459"
49728.437,5.845,7.532,3.19,37608.68,872365.8799,"77621 Michael Fork Suite 487
Port Lauraland, AZ 23400-9348"
60631.111,5.957,7.628,3.11,40928.284,1117741.757,"98660 Williams Lock
West Jamesland, HI 66797"
78404.363,7.067,6.859,3.03,49398.257,1935172.995,"62128 Taylor Drive
New Frank, SD 32477-8796"
86611.178,4.85,8.303,3.01,45359.028,1668670.656,"4800 Flores Inlet Apt. 293
South Mary, MO 35793"
58914.486,6.59,6.311,2.46,35282.714,1072704.89,"1787 Paige Path
Justinmouth, DC 31345-4841"
75867.024,5.54,8.062,4.18,56294.434,1914746.582,"8893 Barbara Camp Apt. 439
Jefffort, VA 89472"
66581.575,5.42,5.884,3.25,18230.519,839194.0689,"456 Mitchell Causeway
Georgefort, NE 04481-1083"
62820.179,7.64,7.681,6.07,23734.17,1285157.87,"109 Smith Park
Laurachester, MP 38007"
69711.904,6.073,8.091,3.45,36291.145,1433614.967,"29718 Simmons Shores Apt. 119
Andreafurt, IN 14150"
82710.59,6.237,5.086,4.43,44768.688,1459342.887,"USNS Barrera
FPO AA 45323-4290"
58828.042,7.237,8.749,6.08,44277.301,1652845.981,"2260 Torres Crest
Lopezburgh, AK 74728"
53161.832,4.879,8.679,4.07,30535.256,725830.602,"196 Robinson Ways Apt. 994
Toddmouth, PW 54975"
79361.027,4.572,6.867,3.23,53875.289,1378863.688,"9881 Olson Drive
Alexanderbury, PA 91436-2120"
58325.696,6.304,7.299,6.31,31256.223,1003941.929,"1535 Debra Expressway Suite 755
Moonmouth, AL 23444"
55772.899,5.641,6.827,2.07,41638.657,729882.6249,"1968 Estes Turnpike Suite 663
South Carriefurt, NY 13185-2445"
71893.429,5.827,7.104,3.39,40364.193,1270047.528,"05664 House Tunnel
New Morganshire, MT 38939"
75922.886,6.689,6.341,2.16,49458.665,1695706.132,"86827 Castaneda Trail Suite 315
Lanceville, UT 64420-1882"
54648.286,5.531,8.461,4.09,20270.542,714822.5872,"80371 Timothy Views
Abigailborough, MN 16645"
71857.571,6.426,6.226,4.05,52563.98,1462899.031,"9817 William Drives Apt. 676
Port Michaelmouth, IL 88737"
67424.188,5.368,7.602,6.11,32412.843,1127260.126,"23133 Parker Spur
Brianland, ID 10645"
70564.863,5.147,6.598,4.5,38376.468,1014226.299,"3862 Jones Plains Suite 613
Lake Linda, ME 52695"
74237.261,4.664,4.705,4.35,37651.015,852982.5644,"238 Samuel Haven
South Michael, AL 99621"
58004.271,5.174,8.328,6.36,29182.721,830286.7066,"43128 King Branch Apt. 349
Mckeeview, NC 89358-6768"
101928.858,4.83,9.039,4.08,22804.992,1938866.49,"856 Harris Centers Suite 940
Nicholasport, IL 91064-1080"
55809.495,6.855,6.33,4.2,49001.901,1247645.41,"748 White Underpass
West Michael, CT 11080-9522"
48357.063,4.728,7.99,3.03,45206.726,813415.1281,"7278 Wiggins Square
South Nathan, FL 72804"
65017.746,5.001,5.946,2.37,26910.321,679373.4015,"319 Denise Run
Stephenview, PW 77941-4444"
66949.001,5.495,5.946,3.18,30323.74,814879.2063,"402 Steven Greens
East Terrence, FM 76774"
82848.559,5.729,6.282,4.47,40338.11,1489540.135,"66118 Torres Pike Apt. 446
West Kevinland, ME 01431-0177"
65851.263,6.517,7.182,5.09,36110.063,1468738.755,"5412 Smith Ports Apt. 902
West Jonstad, PA 43101-8130"
93579.117,5.821,6.49,4.49,38977.937,1859883.661,"258 Cummings Burg Apt. 469
North William, NC 21455-3269"
76114.159,6.77,7.322,5.02,42601.815,1558758.796,"674 Todd Ports
Parsonschester, VA 49485-9488"
84289.795,7.762,7.946,4.09,42768.458,2120888.345,"3999 Laura Lakes
Barnesport, FM 49833"
57715.54,5.549,7.649,5.16,19844.173,790598.827,"11190 Robinson Extension
Fieldsfort, CA 51614-8941"
85825.859,6.615,6.256,3.36,13983.301,1137465.336,"546 Mitchell Village Suite 737
Lake Vincent, OH 05404-1179"
62765.294,7.679,7.46,4.08,22272.186,1369753.282,"31651 Hale Walks
Port Henryfort, UT 45989"
70205.722,5.838,8.657,5.37,26973.433,1433221.122,"0247 Kenneth Burg
Port Angelica, WI 77878-6142"
66595.663,4.786,7.476,3.16,42385.401,1373048.099,"7793 Bradley Trail Suite 924
Nicholschester, OK 05492-7126"
64303.64,5.626,6.583,3.42,20214.598,941950.5795,"43275 Knight Walks Apt. 856
Jamesville, FL 18420-6564"
57358.623,7.353,7.097,3.14,22061.585,948279.9394,"16028 Sarah Isle Suite 386
East Clifford, PW 67999-0591"
74216.129,6.039,7.005,3.28,45068.599,1365036.084,"5976 Amanda Grove
Ritterport, SD 08541-1686"
68503.486,4.404,8.42,4.42,34699.258,1289082.363,"80906 Michael Grove Apt. 103
South Denise, KS 86144"
55481.287,5.734,9.7,3.46,42179.67,1398979.249,"20960 Leonard Loaf Apt. 902
South Lisabury, MA 55466"
75265.998,8.313,7.495,5.33,13108.018,1559678.613,"PSC 8409, Box 5628
APO AA 76710-9573"
68854.091,6.746,8.194,5.23,37482.546,1485677.064,"8938 Jose Lodge
Emilyside, CO 97593-5472"
74854.1,4.605,7.679,4.06,50538.014,1553592.98,"041 Claire Glens
Samanthaside, KS 70716-5226"
54634.318,5.743,8.046,6.3,41564.006,1179278.094,"572 Kayla Port Suite 910
New Catherine, UT 56845"
57098.202,8.172,5.76,2,42721.286,1262465.989,"7928 Evans Inlet
Port Sherriland, SC 82783"
68035.562,6.487,8.811,4.06,34174.744,1663509.393,"05890 Robin Brook Suite 649
East Bethton, MI 72561"
63128.607,5.459,6.954,3.02,39536.81,930011.5709,"065 Helen Oval Apt. 756
Kathrynborough, UT 72714-6759"
62937.048,6.172,8.931,3.14,38082.483,1584167.851,"678 Howe Lights
East Bryan, OR 66067"
82915.911,7.079,7.883,5.2,50445.647,2185480.091,"38531 Anna Estates Apt. 937
Kevinfurt, AZ 71789"
70138.534,6.46,6.845,4.05,44684.737,1529028.714,"67263 Garrett Knoll
Hineshaven, IN 52693-6366"
75611.472,5.693,7.174,6.18,22047.199,998240.8508,"576 Moore Stravenue
Stephaniemouth, OK 66676"
42822.311,6.613,4.994,3.34,29670.202,513215.9882,"43074 Armstrong Wall
West Timothychester, NH 29497-5681"
60145.231,7.349,8.012,5.19,25198.787,1136448.409,"USNS Reyes
FPO AA 35029"
87853.848,6.525,7.572,6.43,42302.261,1898668.844,"22912 Taylor Island
Brianside, MA 36738-0637"
66392.571,5.381,8.023,5.13,26623.184,1255576.273,"614 Leah Row Suite 729
Marissastad, NM 00794"
58204.223,6.302,7.376,5.41,46663.403,1367641.27,"97004 Gutierrez Greens Apt. 332
East Deniseview, RI 21012-8300"
88244.615,6.548,8.765,3.36,25791.995,1788285.239,"61508 Taylor Turnpike Suite 751
North Sherry, SC 21980-1722"
68737.599,4.501,8.45,6.18,34216.692,1230363.234,"46722 Avila Ford
Lake Sharonland, NY 80569"
56423.034,4.671,8.11,3.03,40155.743,1000216.858,"460 Morales Islands Apt. 118
West Jeffrey, NE 35494"
66678.062,3.908,7.496,5.02,23031.17,587007.8442,"827 Ferguson Isle
Rosebury, AL 61416-3167"
71517.014,7.906,7.731,5.02,40239.283,1734373.044,"653 Parker Overpass Suite 506
Susanshire, AZ 00328"
66097.622,3.979,6.152,4.19,37467.596,762167.2533,"41962 Castro Groves Suite 053
Jacquelinestad, PW 32378"
76423.318,7.562,7.673,5.25,24402.237,1532845.723,"66807 Johnson Prairie Apt. 849
Hernandezhaven, NE 29672"
72660.158,5.448,6.131,4.39,48711.555,1243501.651,"98734 Sharp Shoals Apt. 825
North Sharon, CA 40445-0695"
92787.282,5.194,6.825,2.24,36590.45,1628878.094,"2574 Richardson Trail
Villarrealland, MD 90258-8822"
78535.641,7.036,7.111,3.33,44280.076,1767330.934,"7069 Barajas Brooks
Martinezbury, VA 51924"
58110.574,5.878,6.825,2.41,49355.979,1308752.504,"97379 Erin Tunnel Suite 230
Wilsonside, CA 62038-2300"
71614.593,6.358,8.339,4.38,29922.17,1311681.42,"914 Ramirez Valleys
East Mark, NM 09382"
76813.78,6.975,6.914,3.11,31822.486,1567368.285,"4134 Susan Fords
Port Andreatown, DE 39559-2783"
73508.359,6.272,6.773,3.49,34894.576,1126821.109,"8580 Caleb Rapid Suite 109
Karenchester, AL 04190-4237"
63805.701,7.12,5.908,4.35,48433.821,1473761.532,"9731 Bryan Estate
North Teresafort, MA 43089-0152"
67651.533,6.308,6.297,4.42,50823.46,1366000.57,"12163 Carter Shoals Apt. 326
Deckerland, SD 16294"
69086.606,5.649,9.079,6.41,39890.297,1677612.442,"7303 Amber Locks Suite 812
North Kelly, IN 94856-6427"
93822.308,7.308,6.739,3.39,28555.788,1789973.205,"16991 Theresa Trace
Port Matthewshire, NC 66272"
89808.629,6.991,8.429,3.19,30847.092,1961715.867,"114 Michael Wall Apt. 387
Lake Taylor, ND 17489"
64896.623,5.747,4.714,2.01,33201.078,673225.1119,"4363 Tara Bridge Apt. 728
Rivasfurt, ND 04123"
61853.864,7.216,7.673,3.5,23811.234,1230391.468,"PSC 1123, Box 2566
APO AE 12036-0836"
64205.863,5.608,6.107,2.28,48649.61,1124818.114,"96480 Taylor Mews Apt. 138
New Justinmouth, PA 25004"
74872.361,6.744,7.129,3.17,20068.155,1090996.143,"933 Morgan Via Apt. 871
Nicolebury, AL 14624"
81980.589,5.625,8.457,3.33,41393.594,1570154.414,"79023 Ramirez Isle
East Jeffreyborough, CT 45650-3126"
52801.979,5.87,6.176,3.18,21518.045,685123.1393,"962 Brandon River Apt. 829
South Jamie, GU 95398"
54510.2,5.053,8.724,4.15,20211.437,845553.3695,"713 Anderson Lights Suite 346
North Katie, FM 72098"
61868.607,5.787,4.775,3.17,34967.076,974805.9937,"76329 Eric Mount Suite 495
Whiteville, AS 79813"
63655.182,7.537,7.293,3.17,16409.116,1247660.99,"960 Ferguson Ports Suite 436
Lake Denise, OK 51103-4597"
86031.513,5.293,7.373,5.16,35417.77,1381417.25,"519 David Ways Apt. 059
Port John, PW 73151-6724"
72748.513,6.879,8.783,6.28,40137.502,1726364.398,"231 Rodriguez Extensions
Ramirezview, UT 82819-9826"
61839.768,7.74,5.938,3.24,26064.82,961539.0599,"PSC 9596, Box 0250
APO AE 81289"
76519.682,6.456,6.645,2.17,28961.428,1359978.16,"117 Harper Harbor Apt. 891
North Harry, TN 24136"
76774.858,6.233,6.397,2.05,34313.828,1384466.437,"604 Angela Crescent
West Timothy, MP 45493"
76659.749,5.901,7.039,6.37,41717.721,1531447.285,"9224 Phillips Villages
Jamesbury, DC 07921"
71371.434,5.97,5.298,3.38,52265.601,1418595.727,"98797 Miller Manor
Kristinmouth, ID 05829"
83460.871,5.737,6.981,2.43,31385.463,1476386.996,"Unit 3589 Box 1542
DPO AA 16271-0224"
74740.733,5.626,5.787,4.36,29954.618,1168355.32,"3777 John Canyon Suite 968
Amberborough, WA 31105"
70229.016,6.661,7.643,6.25,28829.009,1222701.012,"238 Turner Cliffs Apt. 239
Amyburgh, PA 71224-5090"
72950.864,5.32,5.112,4.27,38711.035,987447.7775,"84076 Anderson Hills Apt. 983
South Justin, OK 66516"
58515.946,5.954,6.323,4.43,33776.478,982790.871,"22469 Amy Valleys
Edwardsberg, MD 02773"
52207.444,5.274,7.452,5.06,21095.586,527749.4039,"97665 Clark Roads
Brianmouth, ND 02995-1068"
72821.248,6.481,7.117,5.33,40594.059,1391232.527,"5869 Suarez Locks Suite 297
East Jonathanton, DE 82931"
66250.317,4.859,7.759,3.08,24201.753,1094321.883,"63443 Wesley Haven Apt. 970
Maryburgh, CO 32233"
74275.504,6.001,8.495,6.32,38535.726,1610217.177,"7587 Mcdonald Common Apt. 738
Elliottshire, DE 90107"
81167.441,8.101,6.341,4.5,28713.962,1768705.125,"372 Angela Summit Apt. 043
New Tiffany, NJ 35579"
56119.333,7.809,7.373,4.4,36041.275,1236258.08,"334 Robert Inlet
Thomasshire, CO 09495"
84998.459,5.899,6.259,3.5,28623.41,1329007.203,"173 Heather Extensions
Peggybury, AS 89149-2125"
69604.428,7.006,7.569,6.37,40684.078,1704126.876,"50340 Parker Islands Apt. 276
North Alexis, NV 71995-9163"
70775.435,6.132,6.909,3.2,40561.297,1321888.268,"0965 Walker Port
East Jennifer, MN 53589"
66236.841,6.856,5.067,3.22,38906.857,1113936.638,"2929 Rodriguez Pine
North Gregoryland, WY 79081"
57451.868,5.116,7.946,5.08,38532.98,1043628.37,"146 Margaret Drive
East Taylor, AR 62664"
66293.884,6.84,7.328,6.13,48877.501,1663653.71,"76518 Kristen Expressway
Bennettstad, NE 55780-9958"
69100.99,4.272,6.248,2.29,46139.137,969678.5673,"USNS Chaney
FPO AP 87928"
75729.766,5.581,7.643,4.21,29996.018,1183014.509,"11252 Waters Expressway Suite 333
Savannahtown, WA 87924-9404"
58599.616,5.666,7.068,3.43,26569.659,957814.6031,"2590 Warren Walk
Robertsport, NY 09253-2552"
59498.079,5.522,7.429,3.43,25401.102,912891.6806,"09767 Alvarado Rest
Donnaland, MP 95960"
72409.666,6.117,8.473,6.33,40605.967,1479758.318,"098 Melton Cliffs Apt. 580
Madisonmouth, SC 04285"
69316.797,6.3,7.874,4.28,24448.211,1431507.623,"PSC 3490, Box 0556
APO AE 04921"
68656.907,7.354,8.788,6.36,43833.853,1747911.496,"6258 Shirley Lock Suite 916
North Craig, HI 86453-3624"
71240.252,5.924,8.885,5.09,42566.502,1563083.336,"1191 Tate Islands Suite 460
Smithtown, ME 11150-3233"
73223.942,5.086,7.707,6.14,41113.007,1425745.297,"154 Lee Tunnel
Smallland, NC 15747-5815"
60968.333,5.925,5.758,4.29,28483.812,804453.8698,"0542 Brandon Mountain
Silvafurt, NE 88050-3603"
65935.613,5.073,8.262,4.16,36262.427,1060440.596,"7168 Morgan Viaduct
West Paulchester, KY 61596"
62773.521,4.497,6.804,4.06,41389.365,954737.1411,"1880 Samuel Fork Suite 830
Lake Elizabethfort, UT 41369-0237"
69304.571,5.331,7.31,3.4,29466,1152604.142,"326 Isaiah Isle
Stevenfort, UT 18732"
73218.997,4.417,5.877,4.19,31619.582,955943.809,"232 Andrade Cliffs Apt. 325
Lewismouth, VI 87172-1000"
63787.536,4.643,6.008,3.25,22449.534,433247.1566,"4619 Doyle Causeway
New Gilbert, WY 70871-5578"
76613.08,7.394,7.347,5.5,43250.99,1718876.795,"2499 George Stravenue
New Pamela, AK 46876"
64461.392,7.95,6.675,2.04,34210.936,1236874.809,"24231 Woods Alley Apt. 225
Ralphfurt, PA 09827-4337"
41533.013,6.854,5.056,4.24,31685.403,682200.3006,"059 Morris Summit
New Whitney, NY 73137"
79575.642,4.971,5.85,4.04,31050.103,1141916.525,"4827 Kelsey Glen Suite 220
Michaeltown, MD 34529"
82185.47,5.22,5.343,4.19,29258.989,1162735.272,"Unit 4395 Box 2223
DPO AE 68423-9498"
69853.424,7.225,7.868,6,41913.637,1681340.635,"8408 Lam Mountains
Robertside, SD 61154-0104"
51519.619,6.945,5.544,4.13,43258.645,945981.5296,"15429 Janice Lock
Jessicaville, MD 71946"
48616.855,7.081,6.843,4.45,29770.083,854045.0138,"69330 Vasquez Square Apt. 177
West Douglasland, NV 48332"
63324.582,7.725,6.213,4.42,43281.573,1372994.29,"PSC 5511, Box 3978
APO AA 43113"
65016.224,2.644,8.306,6.05,15902.582,414571.2229,"584 Rick Cove
Leeberg, ND 15540-8557"
76855.866,4.741,6.092,2.37,45388.314,1240319.692,"6948 Michelle Tunnel
South Christopherville, NM 47337-9117"
75302.083,6.759,7.823,4.48,42382.752,1640646.67,"63283 Simmons Meadows Apt. 194
North Amandaville, MO 55928"
69438.7,6.12,7.403,4.48,57775.261,1537335.897,"898 Craig Ridge Apt. 204
Coryfort, GA 66710-2535"
75764.2,4.838,6.592,2.38,36712.2,1337966.927,"97282 Moore Knoll Suite 107
West Megan, AS 39793-7339"
68814.926,5.428,5.486,3.2,42285.985,1085113.451,"49682 Brett Square
New Andrea, NH 32549"
60912.316,6.313,6.299,4.21,20915.816,905328.7691,"2378 Christine Oval
North Michaelborough, CT 83476"
41007.459,5.305,6.034,3.39,39526.566,494742.5436,"682 Lara Hollow Suite 021
South Shannonmouth, KY 33314-3669"
61949.884,6.109,6.455,2.34,42092.884,1237360.718,"50415 Julia Lane Apt. 645
Lake Emilyfort, KY 92027-9820"
67421.667,4.639,7.664,6.04,20167.04,864899.485,"9641 Jackie Brook
Timothyshire, PW 16107"
68428.394,5.267,6.141,3.22,31074.125,1002192.582,"3228 Kathy Shores Suite 923
North Nathaniel, RI 37530"
61839.648,5.678,6.662,4.48,17244.97,800110.1189,"802 Lauren Locks
Scotttown, KY 33922-1795"
62835.257,7.096,7.156,5.16,50097.951,1410331.825,"2144 Jackson Path Apt. 300
Charleneland, NM 58522"
72485.197,4.205,5.707,2.45,43134.038,1036382.766,"1608 Andrews Rest Apt. 672
Richardshire, IN 92603"
60945.722,4.782,5.628,3.08,34162.957,437146.0204,"53074 Alexis Village Apt. 437
Floydland, DC 23157"
83729.792,4.403,5.213,3.19,12906.255,624432.966,"914 Beasley Pines Suite 756
Lake Phillip, VA 85426"
57605.799,7.41,5.638,2.33,49411.411,1179440.832,"USS Thomas
FPO AA 60174-6263"
75358.483,8.991,7.283,3.2,21319.994,1740404.967,"84910 Lloyd Green Apt. 744
Lake Lynn, AK 73257-6707"
53927.413,4.528,5.676,3.35,37875.55,706135.1446,"880 Lee Groves Suite 157
West Jeffrey, HI 92567-7167"
60776.387,6.856,5.573,3.5,28318.75,870252.411,"698 Julie Shoals Suite 296
Christensentown, WI 62082"
69648.514,5.445,6.961,3.17,36038.959,1106149.686,"66285 Drake Hollow Suite 740
New Shannonhaven, VA 07026-9938"
59295.68,4.731,8.091,4.44,46784.539,1192677.55,"5115 Anderson Plains
Wilkinsonbury, ND 95001-4548"
97548.31,5.461,6.609,2.5,39089.416,2026303.098,"349 Sean Forges
Whitakerville, WY 85138-4153"
61688.683,6.843,8.336,6.15,35552.991,1311473.323,"Unit 6166 Box 9012
DPO AA 29420-5875"
72469.542,5.606,8.045,3.07,27227.813,1123386.531,"69260 Brenda Overpass Apt. 620
Port Nicolestad, UT 49247"
